genome_id,gtdb_classification,Database
002-MX-07.bin.1.232,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__JAHEYG01;s__,MiDAS Global
002-MX-07.bin.1.234,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JAAFJR01;s__,MiDAS Global
002-MX-07.bin.1.243,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__FEN-1173;f__FEN-1173;g__JADKHR01;s__,MiDAS Global
002-MX-07.bin.1.247,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA918;g__Damh-18;s__,MiDAS Global
002-MX-07.bin.1.249,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__SCN-70-22;s__,MiDAS Global
002-MX-07.bin.1.253,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio desulfuricans_E,MiDAS Global
002-MX-07.bin.1.254,d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Peribacterales;f__Peribacteraceae;g__JAKQEM01;s__,MiDAS Global
002-MX-07.bin.1.255,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__;s__,MiDAS Global
002-MX-07.bin.1.277,d__Bacteria;p__Myxococcota;c__WYAZ01;o__WYAZ01;f__WYAZ01;g__;s__,MiDAS Global
002-MX-07.bin.1.284,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__,MiDAS Global
002-MX-07.bin.1.285,d__Bacteria;p__KSB1;c__UBA2214;o__DRLW01;f__QEVD01;g__DSNU01;s__,MiDAS Global
002-MX-07.bin.1.287,d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__Absconditabacterales;f__CALMFT01;g__;s__,MiDAS Global
